"time","geo","unit","sex","age","age_label","sex_label","unit_label","value","flag"
2008,"ES","RAT","T","TOTAL","Total","Total","Ratio",5.59,"b"
2009,"ES","RAT","T","TOTAL","Total","Total","Ratio",5.87,
2010,"ES","RAT","T","TOTAL","Total","Total","Ratio",6.16,
2011,"ES","RAT","T","TOTAL","Total","Total","Ratio",6.28,
2012,"ES","RAT","T","TOTAL","Total","Total","Ratio",6.47,
2013,"ES","RAT","T","TOTAL","Total","Total","Ratio",6.29,
2014,"ES","RAT","T","TOTAL","Total","Total","Ratio",6.81,
2015,"ES","RAT","T","TOTAL","Total","Total","Ratio",6.87,
2016,"ES","RAT","T","TOTAL","Total","Total","Ratio",6.6,
2017,"ES","RAT","T","TOTAL","Total","Total","Ratio",6.59,
2018,"ES","RAT","T","TOTAL","Total","Total","Ratio",6.03,
2019,"ES","RAT","T","TOTAL","Total","Total","Ratio",5.94,
2020,"ES","RAT","T","TOTAL","Total","Total","Ratio",5.77,
2021,"ES","RAT","T","TOTAL","Total","Total","Ratio",6.19,
2022,"ES","RAT","T","TOTAL","Total","Total","Ratio",5.63,
2023,"ES","RAT","T","TOTAL","Total","Total","Ratio",5.5,
2024,"ES","RAT","T","TOTAL","Total","Total","Ratio",5.39,
2025,"ES","RAT","T","TOTAL","Total","Total","Ratio",5.24,
2004,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.16,"b"
2005,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.02,
2006,"FR","RAT","T","TOTAL","Total","Total","Ratio",3.98,
2007,"FR","RAT","T","TOTAL","Total","Total","Ratio",3.88,
2008,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.4,"b"
2009,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.42,
2010,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.43,
2011,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.61,
2012,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.54,
2013,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.48,
2014,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.27,
2015,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.29,
2016,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.32,
2017,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.31,
2018,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.23,
2019,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.27,
2020,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.42,"b"
2021,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.41,
2022,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.6,"b"
2023,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.63,
2024,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.66,
2025,"FR","RAT","T","TOTAL","Total","Total","Ratio",4.74,
2010,"HR","RAT","T","TOTAL","Total","Total","Ratio",5.54,
2011,"HR","RAT","T","TOTAL","Total","Total","Ratio",5.58,
