"time","geo","unit","sex","age","age_label","sex_label","unit_label","value","flag"
2013,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.91,
2014,"CY","RAT","T","TOTAL","Total","Total","Ratio",5.37,
2015,"CY","RAT","T","TOTAL","Total","Total","Ratio",5.2,
2016,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.88,
2017,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.56,
2018,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.29,
2019,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.69,
2020,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.28,
2021,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.23,
2022,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.22,
2023,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.23,
2024,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.4,
2025,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.6,
2005,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.69,"b"
2006,"LV","RAT","T","TOTAL","Total","Total","Ratio",7.76,
2007,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.37,
2008,"LV","RAT","T","TOTAL","Total","Total","Ratio",7.27,
2009,"LV","RAT","T","TOTAL","Total","Total","Ratio",7.4,
2010,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.84,
2011,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.5,
2012,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.47,
2013,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.32,
2014,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.48,
2015,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.51,
2016,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.2,
2017,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.3,
2018,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.78,
2019,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.54,
2020,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.27,
2021,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.63,
2022,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.33,
2023,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.2,
2024,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.28,
2025,"LV","RAT","T","TOTAL","Total","Total","Ratio",6.68,
2005,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.95,"b"
2006,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.34,
2007,"LT","RAT","T","TOTAL","Total","Total","Ratio",5.91,
2008,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.11,
2009,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.39,
2010,"LT","RAT","T","TOTAL","Total","Total","Ratio",7.35,
2011,"LT","RAT","T","TOTAL","Total","Total","Ratio",5.84,
2012,"LT","RAT","T","TOTAL","Total","Total","Ratio",5.32,
2013,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.05,
2014,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.1,
2015,"LT","RAT","T","TOTAL","Total","Total","Ratio",7.46,
2016,"LT","RAT","T","TOTAL","Total","Total","Ratio",7.06,
2017,"LT","RAT","T","TOTAL","Total","Total","Ratio",7.28,
2018,"LT","RAT","T","TOTAL","Total","Total","Ratio",7.09,
2019,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.44,
2020,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.14,
2021,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.14,
2022,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.39,
2023,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.32,
2024,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.54,"p"
2025,"LT","RAT","T","TOTAL","Total","Total","Ratio",6.54,"p"
2003,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.06,"b"
2004,"LU","RAT","T","TOTAL","Total","Total","Ratio",3.92,
2005,"LU","RAT","T","TOTAL","Total","Total","Ratio",3.87,
2006,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.18,
2007,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.02,
2008,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.11,
2009,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.31,
2010,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.1,
2011,"LU","RAT","T","TOTAL","Total","Total","Ratio",3.97,
2012,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.13,
2013,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.59,
2014,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.42,
2015,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.26,
2016,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.62,"b"
2017,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.56,
2018,"LU","RAT","T","TOTAL","Total","Total","Ratio",5.18,
2019,"LU","RAT","T","TOTAL","Total","Total","Ratio",5.34,
2020,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.99,"b"
2021,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.59,"b"
2022,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.51,"b"
2023,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.79,
2024,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.68,
2025,"LU","RAT","T","TOTAL","Total","Total","Ratio",4.6,"b"
2005,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.04,"b"
2006,"HU","RAT","T","TOTAL","Total","Total","Ratio",5.48,
2007,"HU","RAT","T","TOTAL","Total","Total","Ratio",3.67,
2008,"HU","RAT","T","TOTAL","Total","Total","Ratio",3.6,
2009,"HU","RAT","T","TOTAL","Total","Total","Ratio",3.51,
2010,"HU","RAT","T","TOTAL","Total","Total","Ratio",3.41,
2011,"HU","RAT","T","TOTAL","Total","Total","Ratio",3.94,
2012,"HU","RAT","T","TOTAL","Total","Total","Ratio",4,
2013,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.29,
2014,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.33,
2015,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.3,
2016,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.26,
2017,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.27,
2018,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.35,
2019,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.23,"b"
2020,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.24,
2021,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.16,
2022,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.16,
2023,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.43,
2024,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.39,
2025,"HU","RAT","T","TOTAL","Total","Total","Ratio",4.68,
2005,"MT","RAT","T","TOTAL","Total","Total","Ratio",3.95,"b"
2006,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.03,
2007,"MT","RAT","T","TOTAL","Total","Total","Ratio",3.89,
2008,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.26,
2009,"MT","RAT","T","TOTAL","Total","Total","Ratio",3.99,
2010,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.33,
2011,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.01,
2012,"MT","RAT","T","TOTAL","Total","Total","Ratio",3.94,
2013,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.14,
2014,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.05,
2015,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.15,
2016,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.22,
2017,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.21,
2018,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.28,
2019,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.18,
2020,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.69,
2021,"MT","RAT","T","TOTAL","Total","Total","Ratio",5.03,
2022,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.75,
2023,"MT","RAT","T","TOTAL","Total","Total","Ratio",5.3,
2024,"MT","RAT","T","TOTAL","Total","Total","Ratio",5.07,
2025,"MT","RAT","T","TOTAL","Total","Total","Ratio",4.49,
2005,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.99,"b"
2006,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.82,
2007,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.97,
2008,"NL","RAT","T","TOTAL","Total","Total","Ratio",4.01,
2009,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.97,
2010,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.65,
2011,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.75,
2012,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.61,
2013,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.58,
2014,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.83,
2015,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.82,
2016,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.93,"b"
2017,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.99,
2018,"NL","RAT","T","TOTAL","Total","Total","Ratio",4.05,
2019,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.94,
2020,"NL","RAT","T","TOTAL","Total","Total","Ratio",4.15,
2021,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.88,
2022,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.94,
2023,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.87,
2024,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.72,
2025,"NL","RAT","T","TOTAL","Total","Total","Ratio",3.76,
2003,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.07,"b"
2004,"AT","RAT","T","TOTAL","Total","Total","Ratio",3.77,
2005,"AT","RAT","T","TOTAL","Total","Total","Ratio",3.81,
2006,"AT","RAT","T","TOTAL","Total","Total","Ratio",3.66,
2007,"AT","RAT","T","TOTAL","Total","Total","Ratio",3.77,
2008,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.19,"b"
2009,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.15,
2010,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.34,
2011,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.12,
2012,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.2,
2013,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.11,
2014,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.13,
2015,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.05,
2016,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.09,
2017,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.29,
2018,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.04,
2019,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.17,
2020,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.11,
2021,"AT","RAT","T","TOTAL","Total","Total","Ratio",4,
2022,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.25,
2023,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.28,
2024,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.34,
2025,"AT","RAT","T","TOTAL","Total","Total","Ratio",4.25,
2005,"PL","RAT","T","TOTAL","Total","Total","Ratio",6.64,"b"
2006,"PL","RAT","T","TOTAL","Total","Total","Ratio",5.65,
2007,"PL","RAT","T","TOTAL","Total","Total","Ratio",5.26,
2008,"PL","RAT","T","TOTAL","Total","Total","Ratio",5.12,
2009,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.97,
2010,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2011,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.95,
2012,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.92,
2013,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.88,
2014,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.91,
2015,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.92,
2016,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.76,
2017,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.56,
2018,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.25,
2019,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.37,
2020,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.07,
2021,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.03,
2022,"PL","RAT","T","TOTAL","Total","Total","Ratio",3.91,
2023,"PL","RAT","T","TOTAL","Total","Total","Ratio",4.06,
2024,"PL","RAT","T","TOTAL","Total","Total","Ratio",3.85,
2025,"PL","RAT","T","TOTAL","Total","Total","Ratio",3.63,
2004,"PT","RAT","T","TOTAL","Total","Total","Ratio",6.96,"b"
2005,"PT","RAT","T","TOTAL","Total","Total","Ratio",6.96,
2006,"PT","RAT","T","TOTAL","Total","Total","Ratio",6.73,
2007,"PT","RAT","T","TOTAL","Total","Total","Ratio",6.47,
2008,"PT","RAT","T","TOTAL","Total","Total","Ratio",6.11,
2009,"PT","RAT","T","TOTAL","Total","Total","Ratio",6.01,
2010,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.56,
2011,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.68,
2012,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.82,
2013,"PT","RAT","T","TOTAL","Total","Total","Ratio",6.01,
2014,"PT","RAT","T","TOTAL","Total","Total","Ratio",6.23,
2015,"PT","RAT","T","TOTAL","Total","Total","Ratio",6.01,
2016,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.88,
2017,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.75,
2018,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.22,
2019,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.16,
2020,"PT","RAT","T","TOTAL","Total","Total","Ratio",4.99,
2021,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.66,
2022,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.13,
2023,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.6,
2024,"PT","RAT","T","TOTAL","Total","Total","Ratio",5.2,
2025,"PT","RAT","T","TOTAL","Total","Total","Ratio",4.86,
2007,"RO","RAT","T","TOTAL","Total","Total","Ratio",8.11,"b"
2008,"RO","RAT","T","TOTAL","Total","Total","Ratio",7,
2009,"RO","RAT","T","TOTAL","Total","Total","Ratio",6.53,
2010,"RO","RAT","T","TOTAL","Total","Total","Ratio",6.11,
2011,"RO","RAT","T","TOTAL","Total","Total","Ratio",6.24,
2012,"RO","RAT","T","TOTAL","Total","Total","Ratio",6.6,
2013,"RO","RAT","T","TOTAL","Total","Total","Ratio",6.83,
2014,"RO","RAT","T","TOTAL","Total","Total","Ratio",7.24,
2015,"RO","RAT","T","TOTAL","Total","Total","Ratio",8.32,
2016,"RO","RAT","T","TOTAL","Total","Total","Ratio",7.2,
2017,"RO","RAT","T","TOTAL","Total","Total","Ratio",6.45,
2018,"RO","RAT","T","TOTAL","Total","Total","Ratio",7.21,
2019,"RO","RAT","T","TOTAL","Total","Total","Ratio",7.08,
2020,"RO","RAT","T","TOTAL","Total","Total","Ratio",6.62,
2021,"RO","RAT","T","TOTAL","Total","Total","Ratio",7.1,
2022,"RO","RAT","T","TOTAL","Total","Total","Ratio",6,
2023,"RO","RAT","T","TOTAL","Total","Total","Ratio",5.83,
2024,"RO","RAT","T","TOTAL","Total","Total","Ratio",4.62,
2025,"RO","RAT","T","TOTAL","Total","Total","Ratio",4.37,
2005,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.43,"b"
2006,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.39,
2007,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.31,
2008,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.36,
2009,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.24,
2010,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.42,
2011,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.46,
2012,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.44,
2013,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.6,
2014,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.7,
2015,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.6,
2016,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.56,
2017,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.42,
2018,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.38,
2019,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.39,
2020,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.32,
2021,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.24,
2022,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.28,
2023,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.34,
2024,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.42,
2025,"SI","RAT","T","TOTAL","Total","Total","Ratio",3.55,
2005,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.92,
2006,"SK","RAT","T","TOTAL","Total","Total","Ratio",4.06,
2007,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.48,
2008,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.36,
2009,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.56,
2010,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.8,
2011,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.81,
2012,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.73,
2013,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.58,
2014,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.93,
2015,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.54,
2016,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.63,
2017,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.49,
2018,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.03,
2019,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.34,
2020,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.03,
2021,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.2,
2022,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.12,
2023,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.63,
2024,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.28,
2025,"SK","RAT","T","TOTAL","Total","Total","Ratio",3.27,
2004,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.54,"b"
2005,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.64,
2006,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.64,
2007,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.71,
2008,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.76,
2009,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.71,
2010,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.61,
2011,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.69,
2012,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.69,
2013,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.59,
2014,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.62,
2015,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.56,
2016,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.58,
2017,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.54,
2018,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.65,
2019,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.69,
2020,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.72,
2021,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.58,
2022,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.75,
2023,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.78,
2024,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.73,
2025,"FI","RAT","T","TOTAL","Total","Total","Ratio",3.93,
2004,"SE","RAT","T","TOTAL","Total","Total","Ratio",3.31,"b"
2005,"SE","RAT","T","TOTAL","Total","Total","Ratio",3.33,
2006,"SE","RAT","T","TOTAL","Total","Total","Ratio",3.58,
2007,"SE","RAT","T","TOTAL","Total","Total","Ratio",3.35,
2008,"SE","RAT","T","TOTAL","Total","Total","Ratio",3.7,"b"
2009,"SE","RAT","T","TOTAL","Total","Total","Ratio",3.96,
2010,"SE","RAT","T","TOTAL","Total","Total","Ratio",3.85,
2011,"SE","RAT","T","TOTAL","Total","Total","Ratio",3.95,
2012,"SE","RAT","T","TOTAL","Total","Total","Ratio",3.98,
2013,"SE","RAT","T","TOTAL","Total","Total","Ratio",3.97,
2014,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.15,
2015,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.06,
2016,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.25,
2017,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.27,
2018,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.13,
2019,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.33,
2020,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.12,
2021,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.04,
2022,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.34,
2023,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.73,
2024,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.34,
2025,"SE","RAT","T","TOTAL","Total","Total","Ratio",4.58,
2004,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.4,
2005,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.51,
2006,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.74,
2007,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.95,
2008,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.84,
2009,"IS","RAT","T","TOTAL","Total","Total","Ratio",4.22,
2010,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.61,
2011,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.32,
2012,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.36,
2013,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.36,
2014,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.12,
2015,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.43,
2016,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.33,
2017,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.59,
2018,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.21,
2019,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.35,
2020,"IS","RAT","T","TOTAL","Total","Total","Ratio",3.41,
2003,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.76,"b"
2004,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.59,
2005,"NO","RAT","T","TOTAL","Total","Total","Ratio",4.05,
2006,"NO","RAT","T","TOTAL","Total","Total","Ratio",4.84,
2007,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.54,
2008,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.73,
2009,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.51,
2010,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.42,
2011,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.28,
2012,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.21,
2013,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.25,
2014,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.41,
2015,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.5,
2016,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.69,
2017,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.9,
2018,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.71,
2019,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.81,
2020,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.78,
2021,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.87,"b"
2022,"NO","RAT","T","TOTAL","Total","Total","Ratio",4.11,
2023,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.63,"b"
2024,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.62,
2025,"NO","RAT","T","TOTAL","Total","Total","Ratio",3.39,
2007,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.71,
2008,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.86,
2009,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.76,
2010,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.48,
2011,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.52,
2012,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.4,
2013,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.22,
2014,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.42,"b"
2015,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.48,
2016,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.42,
2017,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.63,
2018,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.5,
2019,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.75,
2020,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.89,
2021,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.86,
2022,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.77,
2023,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.94,
2024,"CH","RAT","T","TOTAL","Total","Total","Ratio",4.81,
2005,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.87,"b"
2006,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.39,
2007,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.34,
2008,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.63,
2009,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.25,
2010,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.35,
2011,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.34,
2012,"UK","RAT","T","TOTAL","Total","Total","Ratio",4.98,"b"
2013,"UK","RAT","T","TOTAL","Total","Total","Ratio",4.63,
2014,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.06,
2015,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.23,
2016,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.12,
2017,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.4,"b"
2018,"UK","RAT","T","TOTAL","Total","Total","Ratio",5.63,
2013,"ME","RAT","T","TOTAL","Total","Total","Ratio",8.54,
2014,"ME","RAT","T","TOTAL","Total","Total","Ratio",7.27,
2015,"ME","RAT","T","TOTAL","Total","Total","Ratio",7.48,
2016,"ME","RAT","T","TOTAL","Total","Total","Ratio",7.38,
2017,"ME","RAT","T","TOTAL","Total","Total","Ratio",7.57,
2018,"ME","RAT","T","TOTAL","Total","Total","Ratio",7.37,
2019,"ME","RAT","T","TOTAL","Total","Total","Ratio",6.72,
2020,"ME","RAT","T","TOTAL","Total","Total","Ratio",5.96,
2021,"ME","RAT","T","TOTAL","Total","Total","Ratio",5.81,
2022,"ME","RAT","T","TOTAL","Total","Total","Ratio",5.55,
2023,"ME","RAT","T","TOTAL","Total","Total","Ratio",5.09,
2012,"MK","RAT","T","TOTAL","Total","Total","Ratio",10.2,
