"time","geo","statinfo","age","age_label","statinfo_label","value","flag"
2025,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.5,"b"
2014,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.6,
2015,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.2,
2016,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.2,
2017,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.1,
2018,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.7,
2019,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.8,"b"
2020,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.2,
2021,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.4,
2022,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.9,
2023,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.6,
2024,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28,
2025,"HU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.5,
2014,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.7,
2015,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.1,
2016,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.6,
2017,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.2,
2018,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.7,
2019,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28,
2020,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.3,
2021,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.2,
2022,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.1,
2023,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33,
2024,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.3,
2025,"MT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.2,
2014,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.2,
2015,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.7,
2016,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.9,"b"
2017,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.1,
2018,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.4,
2019,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.8,
2020,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.2,
2021,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.4,
2022,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.3,
2023,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.5,
2024,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",25.9,
2025,"NL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",25.9,
2014,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.6,
2015,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.2,
2016,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.2,
2017,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.9,
2018,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.8,
2019,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.5,
2020,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27,
2021,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.7,
2022,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.8,
2023,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.1,
2024,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.4,
2025,"AT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.4,
2014,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.8,
2015,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.6,
2016,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.8,
2017,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.2,
2018,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.8,
2019,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.5,
2020,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.2,
2021,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.8,
2022,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.3,
2023,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27,
2024,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26,
2025,"PL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",24.9,
2014,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.5,
2015,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34,
2016,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33.9,
2017,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33.5,
2018,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.1,
2019,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.9,
2020,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.2,
2021,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33,
2022,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32,
2023,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33.7,
2024,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.9,
2025,"PT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.9,
2014,"RO","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35,
2015,"RO","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",37.4,
2016,"RO","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.7,
2017,"RO","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33.1,
2018,"RO","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.1,
