"time","geo","unit","statinfo","hhcomp","hhcomp_label","statinfo_label","unit_label","value","flag"
2024,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",14221,
2025,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",15576,
1995,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",5208,
1996,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",5466,
1997,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",5891,
1998,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",6412,
1999,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",6350,
2000,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",6923,
2001,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",7107,
2003,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",8207,"b"
2004,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",8857,
2005,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",9400,
2006,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",9833,
2007,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",10080,
2008,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",10800,
2009,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",11530,
2010,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",11963,
2011,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",10985,
2012,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",9460,
2013,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",8377,
2014,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",7680,
2015,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",7527,
2016,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",7504,
2017,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",7611,
2018,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",7875,
2019,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",8200,
2020,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",8781,
2021,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",8755,
2022,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",9520,
2023,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",10060,
2024,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",10862,
2025,"EL","EUR","MED_EI","TOTAL","Total","Median equivalised income","Euro",11700,
1995,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",4455,
1996,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",4919,
1997,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",5346,
1998,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",5892,
1999,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",6237,
2000,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",6699,
2001,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",7107,
2003,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",8207,"b"
2004,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",8857,
2005,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",9400,
2006,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",9833,
2007,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",10080,
2008,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",10800,
2009,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",11530,
2010,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",11963,
2011,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",10985,
2012,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",9460,
2013,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",8377,
2014,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",7680,
2015,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",7527,
2016,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",7504,
2017,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",7611,
2018,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",7875,
2019,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",8200,
2020,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",8781,
2021,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",8755,
2022,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",9520,
2023,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",10060,
2024,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",10862,
2025,"EL","NAC","MED_EI","TOTAL","Total","Median equivalised income","National currency",11700,
1995,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",6702,
1996,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",7002,
1997,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",7314,
1998,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",7746,
1999,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",7922,
