"time","geo","unit","statinfo","hhcomp","hhcomp_label","statinfo_label","unit_label","value","flag"
2023,"EL","PPS","MEAN_EI","A_GE2_DCH","Two or more adults with dependent children","Mean equivalised income","Purchasing power standard (PPS)",12625,
2024,"EL","PPS","MEAN_EI","A_GE2_DCH","Two or more adults with dependent children","Mean equivalised income","Purchasing power standard (PPS)",13698,
2025,"EL","PPS","MEAN_EI","A_GE2_DCH","Two or more adults with dependent children","Mean equivalised income","Purchasing power standard (PPS)",14888,
2003,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",8043,"b"
2004,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",8991,
2005,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",9452,
2006,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",9568,
2007,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",9905,
2008,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",10683,
2009,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",11190,
2010,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",11480,
2011,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",11019,
2012,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",8581,
2013,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",7361,
2014,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",7181,
2015,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",6933,
2016,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",6856,
2017,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",7173,
2018,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",7263,
2019,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",7697,
2020,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",8139,
2021,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",8119,
2022,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",8785,
2023,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",9524,
2024,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",10451,
2025,"EL","EUR","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Euro",11181,
2003,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",8043,"b"
2004,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",8991,
2005,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",9452,
2006,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",9568,
2007,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",9905,
2008,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",10683,
2009,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",11190,
2010,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",11480,
2011,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",11019,
2012,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",8581,
2013,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",7361,
2014,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",7181,
2015,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",6933,
2016,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",6856,
2017,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",7173,
2018,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",7263,
2019,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",7697,
2020,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",8139,
2021,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",8119,
2022,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",8785,
2023,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",9524,
2024,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",10451,
2025,"EL","NAC","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","National currency",11181,
2003,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",10030,"b"
2004,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",10469,
2005,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",10791,
2006,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",10841,
2007,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",11123,
2008,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",11902,
2009,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",12291,
2010,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",12090,
2011,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",11664,
2012,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",9078,
2013,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",7954,
2014,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",8110,
2015,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",8115,
2016,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",8271,
2017,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",8527,
2018,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",8539,
2019,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",9172,
2020,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",9430,
2021,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",9200,
2022,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",10005,
2023,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",10792,
2024,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",11979,
2025,"EL","PPS","MED_EI","A_GE2_DCH","Two or more adults with dependent children","Median equivalised income","Purchasing power standard (PPS)",13008,
2003,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",9957,"b"
2004,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",10482,
2005,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",11331,
2006,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",11799,
2007,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",12749,
2008,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",13147,
2009,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",14340,
2010,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",14999,
2011,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",13339,
2012,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",11348,
2013,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",10098,
2014,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",9213,
2015,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",9203,
2016,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",9188,
2017,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",9290,
2018,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",9751,
2019,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",10169,
2020,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",10948,
2021,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",11037,
2022,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",11874,
2023,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",12580,
2024,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",13566,
2025,"EL","EUR","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Euro",14804,
2003,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",9957,"b"
2004,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",10482,
2005,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",11331,
2006,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",11799,
2007,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",12749,
2008,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",13147,
2009,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",14340,
2010,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",14999,
2011,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",13339,
2012,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",11348,
2013,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",10098,
2014,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",9213,
2015,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",9203,
2016,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",9188,
2017,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",9290,
2018,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",9751,
2019,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",10169,
2020,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",10948,
2021,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",11037,
2022,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",11874,
2023,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",12580,
2024,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",13566,
2025,"EL","NAC","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","National currency",14804,
2003,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",12418,"b"
2004,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",12206,
2005,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",12935,
2006,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",13370,
2007,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",14317,
2008,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",14647,
2009,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",15749,
2010,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",15796,
2011,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",14119,
2012,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",12004,
2013,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",10912,
2014,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",10406,
2015,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",10772,
2016,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",11084,
2017,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",11044,
2018,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",11464,
2019,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",12117,
2020,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",12685,
2021,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",12507,
2022,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",13521,
2023,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",14256,
2024,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",15550,
2025,"EL","PPS","MEAN_EI","A_GE2_NDCH","Two or more adults without dependent children","Mean equivalised income","Purchasing power standard (PPS)",17223,
2003,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",8552,"b"
2004,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",9063,
2005,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",9667,
2006,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",10183,
2007,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",10728,
2008,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",11424,
2009,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",12365,
2010,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",12933,
2011,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",11405,
2012,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",9935,
2013,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",8959,
2014,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",8080,
2015,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",8140,
2016,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",8149,
2017,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",8150,
2018,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",8553,
2019,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",9032,
2020,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",9680,
2021,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",9740,
2022,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",10456,
2023,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",11200,
2024,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",11998,
2025,"EL","EUR","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Euro",13095,
2003,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",8552,"b"
2004,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",9063,
2005,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",9667,
2006,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",10183,
2007,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",10728,
2008,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",11424,
2009,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",12365,
2010,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",12933,
2011,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",11405,
2012,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",9935,
2013,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",8959,
2014,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",8080,
2015,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",8140,
2016,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",8149,
2017,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",8150,
2018,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",8553,
2019,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",9032,
2020,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",9680,
2021,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",9740,
2022,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",10456,
2023,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",11200,
2024,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",11998,
2025,"EL","NAC","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","National currency",13095,
2003,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",10665,"b"
2004,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",10553,
2005,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",11035,
2006,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",11538,
2007,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",12048,
2008,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",12727,
2009,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",13581,
2010,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",13621,
2011,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",12072,
2012,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",10510,
2013,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",9681,
2014,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",9126,
2015,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",9528,
2016,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",9831,
2017,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",9689,
2018,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",10056,
2019,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",10762,
2020,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",11216,
2021,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",11037,
2022,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",11907,
2023,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",12692,
2024,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",13752,
2025,"EL","PPS","MED_EI","A_GE2_NDCH","Two or more adults without dependent children","Median equivalised income","Purchasing power standard (PPS)",15235,
1995,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",6590,
1996,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",6870,
1997,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",7467,
1998,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",8070,
1999,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",7924,
2000,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",8660,
2001,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",8801,
2003,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",10263,"b"
2004,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",10996,
2005,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",11913,
2006,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",12140,
2007,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",13026,
2008,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",13180,
2009,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",14716,
2010,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",15942,
2011,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",14023,
2012,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",11296,
2013,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",9580,
2014,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",8877,
2015,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",8875,
2016,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",8884,
2017,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",8852,
2018,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",9335,
2019,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",9708,
2020,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",10684,
2021,"EL","EUR","MEAN_EI","A_GE3","Three or more adults","Mean equivalised income","Euro",11070,
