"time","geo","unit","statinfo","quant_inc","quant_inc_label","statinfo_label","unit_label","value","flag"
2012,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",8.7,
2013,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",8.9,
2014,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9,
2015,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",8.9,
2016,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",8.9,
2017,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.3,
2018,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10,
2019,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.4,
2020,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.3,
2021,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.6,
2022,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.3,
2023,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.4,
2024,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.3,
2025,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.5,
1995,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9,
1996,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9,
1997,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9,
1998,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9,
1999,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9,
2000,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",10,
2001,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",10,
2003,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.1,"b"
2004,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.4,
2005,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.7,
2006,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.5,
2007,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.5,
2008,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.6,
2009,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.8,
2010,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.9,
2011,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.4,
2012,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",8.7,
2013,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",8.9,
2014,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9,
2015,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",8.9,
2016,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",8.9,
2017,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.3,
2018,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",10,
2019,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",10.4,
2020,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",10.3,
2021,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",9.6,
2022,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",10.3,
2023,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",10.4,
2024,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",10.3,
2025,"EL","PPS","SHARE","Q1","First quartile","Share of national equivalised income","Purchasing power standard (PPS)",10.5,
1995,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",5208,
1996,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",5466,
1997,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",5891,
1998,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",6412,
1999,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",6350,
2000,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",6923,
2001,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",7107,
2003,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",8206,"b"
2004,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",8844,
2005,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",9417,
2006,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",9850,
2007,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",10200,
2008,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",10800,
2009,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",11496,
2010,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",11963,
2011,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",10985,
2012,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",9513,
2013,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",8371,
2014,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",7680,
2015,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",7520,
2016,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",7500,
2017,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",7600,
2018,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",7863,
2019,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",8195,
2020,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",8781,
2021,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",8752,
2022,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",9520,
2023,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",10050,
2024,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",10850,
2025,"EL","EUR","TC","Q2","Second quartile","Top cut-off point","Euro",11700,
1995,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",4455,
1996,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",4919,
1997,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",5346,
1998,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",5892,
1999,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",6237,
2000,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",6699,
2001,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",7107,
2003,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",8206,"b"
2004,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",8844,
2005,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",9417,
2006,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",9850,
2007,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",10200,
2008,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",10800,
2009,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",11496,
2010,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",11963,
2011,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",10985,
