"time","geo","age","sex","income","unit","statinfo","statinfo_label","unit_label","income_label","sex_label","age_label","value","flag"
2004,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",282,
2005,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",283,
2006,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",238,
2007,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",280,
2008,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",297,
2009,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",285,
2010,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",262,
2011,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",320,
2012,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",442,
2014,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",403,
2015,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",440,
2016,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",461,
2017,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",451,
2018,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",441,
2019,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",453,
2020,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",479,
2021,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",515,
2022,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",490,
2023,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",434,
2024,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",396,
2025,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",347,
2003,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1203,
2004,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1308,
2005,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1261,
2006,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1220,
2007,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1223,
2008,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1210,
2009,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1226,
2010,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1200,
2011,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1293,
2012,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1298,
2014,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1230,
2015,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1227,
2016,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1267,
2017,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1195,
2018,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1149,
2019,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1172,
2020,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1161,
2021,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1199,
2022,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1118,
2023,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1014,
2024,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",1003,
2025,"EL","TOTAL","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Total",950,
2003,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",226,
2004,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",258,
2005,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",254,
2006,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",242,
2007,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",214,
2008,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",197,
2009,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",215,
2010,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",192,
2011,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",211,
2012,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",211,
2014,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",210,
2015,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",189,
2016,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",201,
2017,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",188,
2018,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",160,
2019,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",166,
2020,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",159,
2021,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",158,
2022,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",150,
2023,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",128,
2024,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",132,
2025,"EL","Y_LT18","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","Less than 18 years",114,
2003,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",848,
2004,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",918,
2005,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",874,
2006,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",866,
2007,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",872,
2008,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",860,
2009,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",876,
2010,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",880,
2011,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",920,
2012,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",868,
2014,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",834,
2015,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",827,
2016,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",833,
2017,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",788,
2018,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",771,
2019,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",784,
2020,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",767,
2021,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",776,
2022,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",717,
2023,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",665,
2024,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",663,
2025,"EL","Y18-64","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","From 18 to 64 years",651,
2003,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",137,
2004,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",145,
2005,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",140,
