"time","geo","unit","hhcomp","rskpovth","statinfo","statinfo_label","rskpovth_label","hhcomp_label","unit_label","value","flag"
2015,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",53,
2016,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",59,
2017,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",64,
2018,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",56,
2019,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",48,
2020,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",51,
2021,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",60,
2022,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",62,
2023,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",89,
2024,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",107,
2025,"EL","THS_PER","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Thousand persons",118,
1995,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",29,
1996,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",25,
1997,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",26,
1998,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",32,
1999,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",28,
2000,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",25,
2001,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",29,
2003,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",20.1,"b"
2004,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",23.7,
2005,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",21.6,
2006,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",18.2,
2007,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",19.1,
2008,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",16.2,
2009,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",15,
2010,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",12.4,
2011,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",15.1,
2012,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",8,
2013,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",8.6,
2014,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",7.3,
2015,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",8,
2016,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",8.9,
2017,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",9.7,
2018,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",8.4,
2019,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",7.1,
2020,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",7.5,
2021,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",8.9,
2022,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",9.4,
2023,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",10.6,
2024,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",12.9,
2025,"EL","PC","F1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single female","Percentage",14.4,
2015,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",110,
2016,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",111,
2017,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",112,
2018,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",102,
2019,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",90,
2020,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",94,
2021,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",113,
2022,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",110,
2023,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",159,
2024,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",181,
2025,"EL","THS_PER","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Thousand persons",196,
1995,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",26,
1996,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",22,
1997,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",23,
1998,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",28,
1999,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",24,
2000,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",23,
2001,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",24,
2003,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",18.8,"b"
2004,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",20.2,
2005,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",18.8,
2006,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",16.6,
2007,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",17.4,
2008,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",15.4,
2009,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",15,
2010,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",12.8,
2011,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",15.3,
2012,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",8.9,
2013,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",9.4,
2014,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",8.5,
2015,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",10.2,
