"time","geo","unit","statinfo","sex","age","age_label","sex_label","statinfo_label","unit_label","value","flag"
2023,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",13084,
2024,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",14202,
2025,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",15567,
1995,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",5208,
1996,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",5467,
1997,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",5891,
1998,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",6413,
1999,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",6350,
2000,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",6924,
2001,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",7119,
2003,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",8206,"b"
2004,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",8844,
2005,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",9417,
2006,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",9850,
2007,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",10200,
2008,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",10800,
2009,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",11496,
2010,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",11963,
2011,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",10985,
2012,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",9513,
2013,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",8371,
2014,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",7680,
2015,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",7520,
2016,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",7500,
2017,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",7600,
2018,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",7863,
2019,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",8195,
2020,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",8781,
2021,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",8752,
2022,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",9520,
2023,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",10050,
2024,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",10850,
2025,"EL","EUR","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Euro",11700,
1995,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",4455,
1996,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",4920,
1997,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",5346,
1998,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",5893,
1999,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",6237,
2000,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",6700,
2001,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",7119,
2003,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",8206,"b"
2004,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",8844,
2005,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",9417,
2006,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",9850,
2007,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",10200,
2008,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",10800,
2009,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",11496,
2010,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",11963,
2011,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",10985,
2012,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",9513,
2013,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",8371,
2014,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",7680,
2015,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",7520,
2016,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",7500,
